,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3375,10.1039/c5cc01471a,2015-04-29,Chemical Communications,1.042,20.861,0.6940000000000001,14.67,100.0,1.6,MAPbI,nip,10.1039/c5cc01471a,59,Chemical Communications,2015-04-29
3376,10.1016/j.jpowsour.2016.08.061,2016-08-20,Journal of Power Sources,0.957,20.7,0.74,14.67,100.0,1.6,MAPbI,nip,10.1016/j.jpowsour.2016.08.061,12,Journal of Power Sources,2016-08-20
3377,10.1016/j.synthmet.2017.01.004,2017-01-26,Synthetic Metals,1.085,20.96,0.645,14.67,100.0,,FAMAPbBrI,nip,10.1016/j.synthmet.2017.01.004,18,Synthetic Metals,2017-01-26
3378,10.1016/j.electacta.2016.05.122,2016-05-18,Electrochimica Acta,0.02,1.014,0.72,14.67,100.0,1.6,MAPbI,nip,10.1016/j.electacta.2016.05.122,26,Electrochimica Acta,2016-05-18
3379,10.1002/chem.201403807,2014-08-05,Chemistry - A European Journal,0.996,21.57,0.68,14.68,100.0,1.6,MAPbI,nip,10.1002/chem.201403807,122,Chemistry - A European Journal,2014-08-05
3380,10.1021/acssuschemeng.9b03776,2019-10-07,ACS Sustainable Chemistry & Engineering,1.01,19.8,0.7,14.69,100.0,1.6,MAPbI,pin,10.1021/acssuschemeng.9b03776,19,ACS Sustainable Chemistry & Engineering,2019-10-07
3381,10.1002/adma.201603808,2016-11-21,Advanced Materials,1.02,21.55,0.67,14.69,100.0,1.56,MAPbI,pin,10.1002/adma.201603808,112,Advanced Materials,2016-11-21
3382,10.1021/acsami.5b00468,2015-03-05,ACS Applied Materials & Interfaces,0.96,21.67,0.705,14.69,100.0,1.6,MAPbI,pin,10.1021/acsami.5b00468,113,ACS Applied Materials & Interfaces,2015-03-05
3383,10.1002/adfm.201501264,2015-11-02,Advanced Functional Materials,0.997,20.0,0.67,14.69,100.0,1.6,MAPbI,nip,10.1002/adfm.201501264,158,Advanced Functional Materials,2015-11-02
3384,10.1021/acsami.7b08536,2017-09-18,ACS Applied Materials & Interfaces,0.9,22.77,0.71,14.7,100.0,1.6,MAPbI,nip,10.1021/acsami.7b08536,19,ACS Applied Materials & Interfaces,2017-09-18
3385,10.2494/photopolymer.29.581,2016-08-31,Journal of Photopolymer Science and Technology,0.84,21.95,0.46,14.7,100.0,1.6,MAPbI,nip,10.2494/photopolymer.29.581,3,Journal of Photopolymer Science and Technology,2016-08-31
3386,10.1021/acsami.7b15263,2018-01-12,ACS Applied Materials & Interfaces,0.89,20.1,0.82,14.7,100.0,,CsFAMAPbBrI,pin,10.1021/acsami.7b15263,83,ACS Applied Materials & Interfaces,2018-01-12
3387,10.1039/c7ee02185b,2017-08-23,Energy & Environmental Science,1.0,21.8,0.7,14.7,100.0,1.55,MAPbI,nip,10.1039/c7ee02185b,45,Energy & Environmental Science,2017-08-23
3388,10.1002/chem.201605693,2017-03-16,Chemistry - A European Journal,1.015,21.9,0.7,14.7,100.0,1.6,MAPbI,nip,10.1002/chem.201605693,6,Chemistry - A European Journal,2017-03-16
3389,10.1002/asia.201501178,2015-11-17,Chemistry - An Asian Journal,1.0,21.6,0.68,14.7,100.0,1.6,MAPbI,nip,10.1002/asia.201501178,16,Chemistry - An Asian Journal,2015-11-17
3390,10.1002/adma.201504555,2016-02-26,Advanced Materials,1.07,17.61,0.78,14.7,100.0,,MAPbBrI,pin,10.1002/adma.201504555,68,Advanced Materials,2016-02-26
3391,10.1039/c5cc06518f,2015-10-29,Chemical Communications,1.01,19.7,0.74,14.7,100.0,1.6,MAPbI,nip,10.1039/c5cc06518f,47,Chemical Communications,2015-10-29
3392,10.1007/s11801-019-8118-1,2019-04-08,Optoelectronics Letters,0.99,20.0,0.74,14.7,100.0,,FAMAPbI,nip,10.1007/s11801-019-8118-1,10,Optoelectronics Letters,2019-04-08
3393,10.1021/acsaem.7b00208,2018-02-14,ACS Applied Energy Materials,0.979,19.7,0.76,14.7,100.0,1.6,MAPbI,pin,10.1021/acsaem.7b00208,23,ACS Applied Energy Materials,2018-02-14
3394,10.1016/j.nanoen.2016.10.065,2016-11-01,Nano Energy,1.01,19.1,0.762,14.7,100.0,1.6,MAPbI,pin,10.1016/j.nanoen.2016.10.065,48,Nano Energy,2016-11-01
3395,10.1021/acsami.9b05730,2019-06-25,ACS Applied Materials & Interfaces,1.133,16.71,0.655,14.7,100.0,1.59,MAPbI,nip,10.1021/acsami.9b05730,39,ACS Applied Materials & Interfaces,2019-06-25
3396,10.1039/c9qi00557a,2019-07-08,Inorganic Chemistry Frontiers,0.99,21.01,0.72,14.7,100.0,1.6,MAPbI,pin,10.1039/c9qi00557a,21,Inorganic Chemistry Frontiers,2019-07-08
3397,10.1021/acsami.5b09873,2016-01-04,ACS Applied Materials & Interfaces,0.93,27.83,0.568,14.7,100.0,1.59,MAPbI,nip,10.1021/acsami.5b09873,36,ACS Applied Materials & Interfaces,2016-01-04
3398,10.1002/aenm.201800554,2018-05-29,Advanced Energy Materials,,,,14.7,100.0,1.6,CsPbI,nip,10.1002/aenm.201800554,42,Advanced Energy Materials,2018-05-29
3399,10.1016/j.egypro.2017.09.091,2017-09-22,Energy Procedia,1.019,19.7,0.73,14.7,100.0,1.55,CsFAMAPbBrI,pin,10.1016/j.egypro.2017.09.091,8,Energy Procedia,2017-09-22
3400,10.1039/c6sc02448c,2016-07-27,Chemical Science,0.99,20.1,0.74,14.7,100.0,1.6,MAPbI,nip,10.1039/c6sc02448c,45,Chemical Science,2016-07-27
3401,10.1002/adfm.201600746,2016-04-18,Advanced Functional Materials,1.03,18.4,0.774,14.7,100.0,1.6,MAPbI,pin,10.1002/adfm.201600746,115,Advanced Functional Materials,2016-04-18
3402,10.1021/acs.jpcc.5b11465,2016-02-17,The Journal of Physical Chemistry C,,,,14.7,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.5b11465,41,The Journal of Physical Chemistry C,2016-02-17
3403,10.1021/acsami.7b16499,2018-01-16,ACS Applied Materials & Interfaces,1.09,17.9,0.74,14.7,100.0,1.6,MAPbI,nip,10.1021/acsami.7b16499,33,ACS Applied Materials & Interfaces,2018-01-16
3404,10.1039/c5nr04250j,2015-09-24,Nanoscale,1.09,19.2,0.7,14.7,100.0,1.6,MAPbI,nip,10.1039/c5nr04250j,61,Nanoscale,2015-09-24
3405,10.1002/aenm.201800997,2018-08-07,Advanced Energy Materials,0.7,26.34,0.797,14.7,100.0,1.3,CsFAPbSnI,pin,10.1002/aenm.201800997,57,Advanced Energy Materials,2018-08-07
3406,10.1021/acs.nanolett.7b03225,2017-09-12,Nano Letters,0.98,19.1,0.78,14.7,100.0,1.6,MAPbI,pin,10.1021/acs.nanolett.7b03225,83,Nano Letters,2017-09-12
3407,10.1021/acsami.6b08771,2016-11-29,ACS Applied Materials & Interfaces,1.04,20.7,0.7040000000000001,14.7,100.0,1.6,MAPbI,pin,10.1021/acsami.6b08771,19,ACS Applied Materials & Interfaces,2016-11-29
3408,10.1039/c6nr09819c,2017-02-23,Nanoscale,0.93,21.0,0.75,14.7,100.0,1.6,MAPbI,pin,10.1039/c6nr09819c,20,Nanoscale,2017-02-23
3409,10.1039/c9cp00564a,2019-02-22,Physical Chemistry Chemical Physics,0.979,19.7,0.76,14.7,100.0,1.6,MAPbI,pin,10.1039/c9cp00564a,2,Physical Chemistry Chemical Physics,2019-02-22
3410,10.1016/j.solener.2018.09.016,2018-09-13,Solar Energy,0.97,20.85,0.727,14.7,100.0,1.6,MAPbI,nip,10.1016/j.solener.2018.09.016,13,Solar Energy,2018-09-13
3411,10.1039/c5nr07347b,2015-12-22,Nanoscale,1.01,21.26,0.69,14.7,100.0,1.6,MAPbI,nip,10.1039/c5nr07347b,130,Nanoscale,2015-12-22
3412,10.1016/j.solener.2019.04.092,2019-05-10,Solar Energy,0.82,21.0,0.85,14.7,100.0,1.6,MAPbI,nip,10.1016/j.solener.2019.04.092,12,Solar Energy,2019-05-10
3413,10.1039/C8TC02754D,2018-09-11,Journal of Materials Chemistry C,1.04,20.62,0.685,14.7,100.0,1.6,MAPbI,pin,10.1039/C8TC02754D,18,Journal of Materials Chemistry C,2018-09-11
3414,10.1246/cl.161194,2017-02-14,Chemistry Letters,1.02,21.4,0.68,14.7,100.0,1.51,CsFAPbI,nip,10.1246/cl.161194,4,Chemistry Letters,2017-02-14
3415,10.1007/s12274-015-0755-5,2015-04-16,Nano Research,0.97,20.2,0.75,14.7,100.0,1.6,MAPbI,pin,10.1007/s12274-015-0755-5,79,Nano Research,2015-04-16
3416,10.1002/chem.201800460,2018-02-27,Chemistry - A European Journal,0.89,22.22,0.72,14.71,100.0,1.6,MAPbI,pin,10.1002/chem.201800460,17,Chemistry - A European Journal,2018-02-27
3417,10.1021/acs.nanolett.5b00046,2015-02-24,Nano Letters,1.052,19.12,0.721,14.71,100.0,1.6,MAPbI,nip,10.1021/acs.nanolett.5b00046,274,Nano Letters,2015-02-24
3418,10.1021/acsami.6b15673,2017-02-10,ACS Applied Materials & Interfaces,0.901,21.743,0.7509999999999999,14.71,100.0,1.6,MAPbI,pin,10.1021/acsami.6b15673,140,ACS Applied Materials & Interfaces,2017-02-10
3419,10.1002/ejoc.201700861,2017-08-10,European Journal of Organic Chemistry,0.92,22.38,0.73,14.71,100.0,1.6,MAPbI,pin,10.1002/ejoc.201700861,14,European Journal of Organic Chemistry,2017-08-10
3420,10.1021/acsami.6b08783,2016-10-12,ACS Applied Materials & Interfaces,1.05,18.9,0.74,14.72,100.0,1.6,MAPbI,nip,10.1021/acsami.6b08783,27,ACS Applied Materials & Interfaces,2016-10-12
3421,10.1016/j.orgel.2019.04.041,2019-05-01,Organic Electronics,0.99,19.68,0.76,14.72,100.0,1.6,MAPbI,pin,10.1016/j.orgel.2019.04.041,4,Organic Electronics,2019-05-01
3422,10.1016/j.jpowsour.2019.04.009,2019-04-09,Journal of Power Sources,0.91,20.56,0.7859999999999999,14.72,100.0,1.6,MAPbI,pin,10.1016/j.jpowsour.2019.04.009,6,Journal of Power Sources,2019-04-09
3423,10.1021/acsaem.8b00277,2018-04-04,ACS Applied Energy Materials,0.99,20.93,0.713,14.73,100.0,1.6,MAPbI,pin,10.1021/acsaem.8b00277,14,ACS Applied Energy Materials,2018-04-04
3424,10.1007/s10854-017-7203-0,2017-06-06,Journal of Materials Science: Materials in Electronics,1.025,19.25,0.75,14.73,100.0,1.6,MAPbI,nip,10.1007/s10854-017-7203-0,6,Journal of Materials Science: Materials in Electronics,2017-06-06
3425,10.1002/cssc.201802421,2019-01-11,ChemSusChem,1.07,17.86,0.768,14.73,100.0,,CsFAMAPbBrI,nip,10.1002/cssc.201802421,24,ChemSusChem,2019-01-11
3426,10.1002/adfm.201902656,2019-06-21,Advanced Functional Materials,1.06,21.85,0.65,14.73,100.0,1.6,MAPbI,nip,10.1002/adfm.201902656,18,Advanced Functional Materials,2019-06-21
3427,10.1016/j.nanoen.2016.11.022,2016-11-13,Nano Energy,1.1,19.68,0.6809999999999999,14.75,100.0,1.6,MAPbI,nip,10.1016/j.nanoen.2016.11.022,115,Nano Energy,2016-11-13
3428,10.1117/12.2187973,2015-09-10,Organic Photovoltaics XVI,1.03,18.36,0.78,14.75,100.0,1.6,MAPbI,pin,10.1117/12.2187973,0,SPIE Proceedings,2015-09-10
3429,10.1021/nn505978r,2014-12-30,ACS Nano,1.03,18.36,0.78,14.75,100.0,1.62,MAPbI,pin,10.1021/nn505978r,274,ACS Nano,2014-12-30
3430,10.3390/nano9020286,2019-02-19,Nanomaterials,1.04,21.11,0.669,14.75,100.0,1.5,MAPbI,pin,10.3390/nano9020286,6,Nanomaterials,2019-02-19
3431,10.1016/j.orgel.2017.08.027,2017-09-15,Organic Electronics,1.04,20.41,0.695,14.75,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2017.08.027,9,Organic Electronics,2017-09-15
3432,10.1039/c5ta06172e,2015-09-02,Journal of Materials Chemistry A,1.01,21.5,0.68,14.76,100.0,1.6,MAPbI,nip,10.1039/c5ta06172e,105,Journal of Materials Chemistry A,2015-09-02
3433,10.1039/c8ta08998a,2018-11-06,Journal of Materials Chemistry A,1.05,21.03,0.67,14.77,100.0,,MAPbI,nip,10.1039/c8ta08998a,20,Journal of Materials Chemistry A,2018-11-06
3434,10.1016/j.solmat.2017.03.030,2017-03-30,Solar Energy Materials and Solar Cells,0.98,20.27,0.74,14.77,100.0,1.6,MAPbI,nip,10.1016/j.solmat.2017.03.030,14,Solar Energy Materials and Solar Cells,2017-03-30
3435,10.1039/c6cp01427e,2016-04-28,Physical Chemistry Chemical Physics,1.05,20.79,0.68,14.78,100.0,1.55,MAPbI,nip,10.1039/c6cp01427e,11,Physical Chemistry Chemical Physics,2016-04-28
3436,10.1021/acssuschemeng.6b03089,2017-02-26,ACS Sustainable Chemistry & Engineering,0.96,20.31,0.758,14.79,100.0,1.6,MAPbI,nip,10.1021/acssuschemeng.6b03089,24,ACS Sustainable Chemistry & Engineering,2017-02-26
3437,10.1002/aenm.201803258,2018-12-03,Advanced Energy Materials,1.14,18.8,0.69,14.8,100.0,1.6,BAMAPbI,pin,10.1002/aenm.201803258,97,Advanced Energy Materials,2018-12-03
3438,10.7567/1347-4065/ab073e,2019-03-27,Japanese Journal of Applied Physics,,,,14.8,100.0,1.6,MAPbI,nip,10.7567/1347-4065/ab073e,2,Japanese Journal of Applied Physics,2019-03-27
3439,10.1039/C5RA23359C,2016-01-28,RSC Advances,1.05,20.3,0.7,14.8,100.0,1.509,CsFAPbI,nip,10.1039/C5RA23359C,76,RSC Advances,2016-01-28
3440,10.1016/j.solener.2018.03.054,2018-04-05,Solar Energy,1.02,21.63,0.68,14.8,100.0,1.6,MAPbI,nip,10.1016/j.solener.2018.03.054,18,Solar Energy,2018-04-05
3441,10.1016/j.solmat.2017.02.010,2017-02-16,Solar Energy Materials and Solar Cells,0.918,21.84,0.74,14.8,100.0,1.6,MAPbI,nip,10.1016/j.solmat.2017.02.010,58,Solar Energy Materials and Solar Cells,2017-02-16
3442,10.1021/acsami.9b07318,2019-07-17,ACS Applied Materials & Interfaces,1.07,21.17,0.654,14.8,100.0,,CsFAMAPbBrI,nip,10.1021/acsami.9b07318,39,ACS Applied Materials & Interfaces,2019-07-17
3443,10.1021/acs.jpcc.5b09322,2015-11-13,The Journal of Physical Chemistry C,1.02,19.9,0.73,14.8,100.0,1.55,MAPbI,pin,10.1021/acs.jpcc.5b09322,64,The Journal of Physical Chemistry C,2015-11-13
3444,10.1039/c5cc09873d,2016-02-04,Chemical Communications,1.1,18.7,0.7240000000000001,14.8,100.0,1.55,MAPbI,nip,10.1039/c5cc09873d,71,Chemical Communications,2016-02-04
3445,10.1002/aenm.201400345,2014-06-12,Advanced Energy Materials,1.09,18.2,0.75,14.8,100.0,1.6,MAPbI,pin,10.1002/aenm.201400345,147,Advanced Energy Materials,2014-06-12
3446,10.1002/admi.201701456,2018-03-15,Advanced Materials Interfaces,1.033,20.3,0.755,14.8,100.0,1.6,MAPbI,nip,10.1002/admi.201701456,20,Advanced Materials Interfaces,2018-03-15
3447,10.1021/acsami.6b06164,2016-09-08,ACS Applied Materials & Interfaces,1.02,18.7,0.78,14.8,100.0,1.6,MAPbI,nip,10.1021/acsami.6b06164,36,ACS Applied Materials & Interfaces,2016-09-08
3448,10.1039/c5ra23359c,2016-01-28,RSC Advances,1.05,20.3,0.7,14.8,100.0,1.509,CsFAPbI,nip,10.1039/c5ra23359c,76,RSC Advances,2016-01-28
3449,10.1039/d0se00460j,2020-05-04,Sustainable Energy & Fuels,1.02,18.6,0.8,14.8,100.0,1.59,MAPbI,pin,10.1039/d0se00460j,26,Sustainable Energy & Fuels,2020-05-04
3450,10.1007/s10853-017-1876-x,2017-12-12,Journal of Materials Science,1.01,20.1,0.732,14.8,100.0,1.6,MAPbI,pin,10.1007/s10853-017-1876-x,12,Journal of Materials Science,2017-12-12
3451,10.1039/c6ta04973g,2016-08-25,Journal of Materials Chemistry A,0.98,20.8,0.73,14.8,100.0,1.56,MAPbI,pin,10.1039/c6ta04973g,41,Journal of Materials Chemistry A,2016-08-25
3452,10.1016/j.solmat.2019.110080,2019-07-29,Solar Energy Materials and Solar Cells,1.06,19.4,0.72,14.8,100.0,1.63,CsFAMAPbBrI,nip,10.1016/j.solmat.2019.110080,15,Solar Energy Materials and Solar Cells,2019-07-29
3453,10.1002/ente.201900878,2019-08-21,Energy Technology,1.013,21.7,0.7,14.8,100.0,1.6,MAPbI,nip,10.1002/ente.201900878,6,Energy Technology,2019-08-21
3454,10.1002/cphc.201500844,2015-11-23,ChemPhysChem,1.01,19.1,0.79,14.8,100.0,1.6,MAPbI,nip,10.1002/cphc.201500844,28,ChemPhysChem,2015-11-23
3455,10.1016/j.solmat.2016.07.045,2016-08-10,Solar Energy Materials and Solar Cells,1.02,19.55,0.74,14.8,100.0,1.6,MAPbI,pin,10.1016/j.solmat.2016.07.045,38,Solar Energy Materials and Solar Cells,2016-08-10
3456,10.1021/acsami.6b13675,2017-02-08,ACS Applied Materials & Interfaces,1.05,21.3,0.6629999999999999,14.8,100.0,1.31,MAPbI,nip,10.1021/acsami.6b13675,101,ACS Applied Materials & Interfaces,2017-02-08
3457,10.1039/c8ra02556h,2018-08-06,RSC Advances,0.91,20.0,0.81,14.8,100.0,1.6,MAPbI,pin,10.1039/c8ra02556h,28,RSC Advances,2018-08-06
3458,10.1039/c6ta05053k,2016-07-18,Journal of Materials Chemistry A,0.96,20.73,0.74,14.8,100.0,1.5,MAPbI,pin,10.1039/c6ta05053k,38,Journal of Materials Chemistry A,2016-07-18
3459,10.1016/j.nanoen.2018.04.056,2018-04-25,Nano Energy,1.03,18.2,0.736,14.8,100.0,1.6,MAPbI,nip,10.1016/j.nanoen.2018.04.056,18,Nano Energy,2018-04-25
3460,10.1002/smll.201501460,2015-08-27,Small,1.007,22.6,0.64,14.8,98.2,1.61,MAPbI,nip,10.1002/smll.201501460,71,Small,2015-08-27
3461,10.1002/cssc.201600868,2016-08-09,ChemSusChem,1.04,21.6,0.66,14.8,100.0,,MAPbI,nip,10.1002/cssc.201600868,110,ChemSusChem,2016-08-09
3462,10.1007/s10854-018-0343-z,2018-11-11,Journal of Materials Science: Materials in Electronics,0.97,20.07,0.76,14.81,100.0,1.5,MAPbI,nip,10.1007/s10854-018-0343-z,2,Journal of Materials Science: Materials in Electronics,2018-11-11
3463,10.1039/c6ee00462h,2016-05-25,Energy & Environmental Science,1.106,19.72,0.679,14.81,100.0,1.6,MAPbI,pin,10.1039/c6ee00462h,72,Energy & Environmental Science,2016-05-25
3464,10.1016/j.orgel.2016.03.017,2016-03-26,Organic Electronics,1.01,20.6,0.71,14.81,100.0,1.6,MAPbI,pin,10.1016/j.orgel.2016.03.017,43,Organic Electronics,2016-03-26
3465,10.1002/adma.201602822,2016-10-12,Advanced Materials,1.032,20.89,0.687,14.82,100.0,1.6,MAPbI,nip,10.1002/adma.201602822,105,Advanced Materials,2016-10-12
3466,10.1002/chem.201605668,2017-01-25,Chemistry - A European Journal,,,,14.82,100.0,1.6,MAPbI,nip,10.1002/chem.201605668,41,Chemistry - A European Journal,2017-01-25
3467,10.1016/j.solener.2019.12.040,2019-12-21,Solar Energy,1.16,18.48,0.6890000000000001,14.83,100.0,,FAMAPbBrI,nip,10.1016/j.solener.2019.12.040,15,Solar Energy,2019-12-21
3468,10.1016/j.tsf.2019.137627,2019-11-01,Thin Solid Films,0.98,23.28,0.65,14.83,100.0,1.6,MAPbI,nip,10.1016/j.tsf.2019.137627,4,Thin Solid Films,2019-11-01
3469,10.1016/j.materresbull.2020.111009,2020-07-16,Materials Research Bulletin,0.97,22.29,0.685,14.83,100.0,,MAPbI,pin,10.1016/j.materresbull.2020.111009,3,Materials Research Bulletin,2020-07-16
3470,10.1021/acsami.8b08669,2018-08-22,ACS Applied Materials & Interfaces,1.09,22.97,0.608,14.83,100.0,1.6,MAPbI,nip,10.1021/acsami.8b08669,28,ACS Applied Materials & Interfaces,2018-08-22
3471,10.1002/pip.2917,2017-07-11,Progress in Photovoltaics: Research and Applications,0.98,23.15,0.654,14.84,100.0,1.55,MAPbI,nip,10.1002/pip.2917,0,Progress in Photovoltaics: Research and Applications,2017-07-11
3472,10.1038/s41598-017-08187-4,2017-08-04,Scientific Reports,1.041,19.2,0.742,14.84,100.0,1.6,MAPbI,nip,10.1038/s41598-017-08187-4,21,Scientific Reports,2017-08-04
3473,10.1021/acs.nanolett.9b02277,2019-08-01,Nano Letters,1.21,15.45,0.794,14.85,100.0,,CsPbBrI,nip,10.1021/acs.nanolett.9b02277,66,Nano Letters,2019-08-01
3474,10.1002/pssa.201900087,2019-05-07,physica status solidi (a),1.05,20.14,0.7020000000000001,14.85,100.0,1.55,MAPbI,pin,10.1002/pssa.201900087,2,physica status solidi (a),2019-05-07
3475,10.1021/acs.jpcc.6b06799,2016-10-12,The Journal of Physical Chemistry C,1.07,23.52,0.59,14.85,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.6b06799,26,The Journal of Physical Chemistry C,2016-10-12
3476,10.1021/acsami.9b03413,2019-05-09,ACS Applied Materials & Interfaces,1.31,14.55,0.7859999999999999,14.86,100.0,,CsPbBrI,nip,10.1021/acsami.9b03413,30,ACS Applied Materials & Interfaces,2019-05-09
3477,10.1021/acs.chemmater.9b03089,2019-09-04,Chemistry of Materials,0.97,19.86,0.772,14.86,100.0,1.6,MAPbI,nip,10.1021/acs.chemmater.9b03089,5,Chemistry of Materials,2019-09-04
3478,10.3390/nano8060416,2018-06-11,Nanomaterials,1.05,20.18,0.7,14.86,100.0,1.6,MAPbI,nip,10.3390/nano8060416,7,Nanomaterials,2018-06-11
3479,10.1039/c9cc07785e,2019-12-02,Chemical Communications,1.03,22.2,0.65,14.86,100.0,,CsFAMAPbBrI,nip,10.1039/c9cc07785e,10,Chemical Communications,2019-12-02
3480,10.1016/j.tsf.2018.04.017,2018-04-16,Thin Solid Films,1.145,20.92,0.62,14.86,100.0,,FAMAPbI,nip,10.1016/j.tsf.2018.04.017,4,Thin Solid Films,2018-04-16
3481,10.1016/j.jallcom.2019.153272,2019-12-24,Journal of Alloys and Compounds,1.004,19.47,0.684,14.87,100.0,,FAMAPbBrI,nip,10.1016/j.jallcom.2019.153272,19,Journal of Alloys and Compounds,2019-12-24
3482,10.1016/j.solmat.2016.12.025,2016-12-28,Solar Energy Materials and Solar Cells,1.05,20.7,0.69,14.87,100.0,,MAPbI,nip,10.1016/j.solmat.2016.12.025,11,Solar Energy Materials and Solar Cells,2016-12-28
3483,10.1002/adma.201604056,2016-12-15,Advanced Materials,1.054,19.93,0.708,14.87,100.0,1.6,MAPbI,nip,10.1002/adma.201604056,51,Advanced Materials,2016-12-15
3484,10.1007/s10854-018-9382-8,2018-05-29,Journal of Materials Science: Materials in Electronics,0.94,22.6,0.79,14.87,100.0,1.6,MAPbI,nip,10.1007/s10854-018-9382-8,0,Journal of Materials Science: Materials in Electronics,2018-05-29
3485,10.1039/c8ta07836j,2018-10-13,Journal of Materials Chemistry A,1.058,23.09,0.616,14.87,100.0,1.57,MAPbI,nip,10.1039/c8ta07836j,23,Journal of Materials Chemistry A,2018-10-13
3486,10.1016/j.spmi.2017.03.011,2017-03-06,Superlattices and Microstructures,1.02,20.62,0.7,14.88,100.0,1.58,MAPbBrI,nip,10.1016/j.spmi.2017.03.011,14,Superlattices and Microstructures,2017-03-06
3487,10.1021/acsnano.9b02362,2019-10-04,ACS Nano,1.13,2.81,0.75,14.88,100.0,,CsFAMAPbBrI,nip,10.1021/acsnano.9b02362,11,ACS Nano,2019-10-04
3488,10.1021/acsomega.0c00067,2020-03-10,ACS Omega,1.07,18.23,0.762,14.88,100.0,,MAPbI,pin,10.1021/acsomega.0c00067,11,ACS Omega,2020-03-10
3489,10.1002/ente.201901042,2019-12-21,Energy Technology,0.98,21.27,0.7170000000000001,14.88,100.0,1.8,MAPbI,pin,10.1002/ente.201901042,11,Energy Technology,2019-12-21
3490,10.1016/j.solmat.2018.11.006,2018-11-22,Solar Energy Materials and Solar Cells,1.03,22.5,0.64,14.89,100.0,1.6,MAPbI,nip,10.1016/j.solmat.2018.11.006,13,Solar Energy Materials and Solar Cells,2018-11-22
3491,10.1039/c6cc01249c,2016-03-15,Chemical Communications,1.06,19.33,0.72,14.89,100.0,1.6,MAPbI,nip,10.1039/c6cc01249c,31,Chemical Communications,2016-03-15
3492,10.1016/j.jechem.2017.09.027,2017-09-22,Journal of Energy Chemistry,0.01,20.23,0.7120000000000001,14.89,100.0,1.59,MAPbI,nip,10.1016/j.jechem.2017.09.027,18,Journal of Energy Chemistry,2017-09-22
3493,10.1016/j.orgel.2017.06.007,2017-06-06,Organic Electronics,1.04,20.14,0.71,14.89,100.0,1.6,MAPbI,nip,10.1016/j.orgel.2017.06.007,20,Organic Electronics,2017-06-06
3494,10.1021/acsami.9b06673,2019-06-28,ACS Applied Materials & Interfaces,1.04,21.3,0.672,14.9,100.0,1.62,MAPbBrI,nip,10.1021/acsami.9b06673,3,ACS Applied Materials & Interfaces,2019-06-28
3495,10.1016/j.tsf.2020.137786,2020-01-07,Thin Solid Films,1.05,20.18,0.701,14.9,100.0,,FAMAPbBrI,nip,10.1016/j.tsf.2020.137786,2,Thin Solid Films,2020-01-07
3496,10.1016/j.jechem.2018.07.009,2018-07-24,Journal of Energy Chemistry,1.08,20.9,0.662,14.9,100.0,,MAPbI,nip,10.1016/j.jechem.2018.07.009,15,Journal of Energy Chemistry,2018-07-23
3497,10.7567/JJAP.57.02CE07,2018-01-12,Japanese Journal of Applied Physics,1.03,19.9,0.73,14.9,100.0,1.5,MAPbI,nip,10.7567/JJAP.57.02CE07,1,Japanese Journal of Applied Physics,2018-01-12
3498,10.1002/aenm.201901566,2019-10-30,Advanced Energy Materials,1.182,17.12,0.764,14.9,100.0,,(PEA)BAMAPbI,pin,10.1002/aenm.201901566,47,Advanced Energy Materials,2019-10-30
3499,10.1080/14686996.2019.1633952,2019-07-12,Science and Technology of Advanced Materials,1.09,19.5,0.7170000000000001,14.9,100.0,1.6,MAPbI,nip,10.1080/14686996.2019.1633952,10,Science and Technology of Advanced Materials,2019-07-12
